Solar_Power,rso,precip,rh_max,td_avg,airt_max,windd_avg,winds_max
19089,1.193,0,21,39.7,87.4,301,10.066
7452,0.483,0,23,39.6,86.5,298,4.698
3422,0.032,0,27,39.7,82.8,349,7.158
3199,0.007,0,44,37.2,62.2,47,8.948
5974,0.325,0,45,37.4,61.3,53,9.171
16002,1.021,0,45,38.7,64.8,107,6.711
28537,1.733,0,42,39.9,69.8,37,4.698
38748,2.37,0,42,42.6,75.7,339,7.382
44613,2.863,0,29,37.8,78.3,34,10.514
49564,3.217,0,28,37.6,80.6,12,10.066
52477,3.348,0,28,38.3,82,57,9.619
44744,2.968,0,27,40.3,84.2,293,8.277
39666,2.497,0,27,39.9,85.3,296,10.961
30304,1.885,0,25,40.1,85.1,295,9.395
18045,1.18,0,29,42.6,84,276,8.5
7486,0.465,0,31,41.9,82,266,5.592
3353,0.029,0,32,41,79,299,6.711
3086,0.006,0,43,36.3,60.3,70,10.737
6047,0.315,0,44,36.1,59.7,82,17.224
16034,1.013,0,44,36.9,62.4,59,14.316
28921,1.728,0,47,41.4,68.4,51,7.382
38640,2.354,0,46,43.2,72.7,307,5.145
41030,2.852,0,33,33.8,77,42,6.263
52302,3.355,0,26,35.1,80.6,151,6.263
43705,2.966,0,22,35.6,84,296,15.882
41011,2.5,0,22,37.2,84.2,290,11.408
29746,1.877,0,21,37.4,83.8,303,9.619
18635,1.169,0,21,37.4,83.3,300,10.29
7431,0.454,0,23,36.5,81.7,307,4.698
3396,0.025,0,28,36.9,78.8,263,5.145
3124,0.005,0,35,30.6,59.7,43,13.422
6009,0.308,0,36,30.9,59.2,71,13.198
15969,1.011,0,55,35.2,63.5,97,11.856
28937,1.722,0,47,39.2,66.2,241,8.724
39523,2.353,0,47,42.1,71.8,18,5.592
45176,2.846,0,39,44.2,77.4,6,6.263
44579,2.956,0,24,37.4,87.8,304,10.29
39745,2.48,0,21,37.9,88.3,270,8.724
30630,1.86,0,20,38.1,87.6,297,9.395
18388,1.152,0,31,38.3,86.9,297,6.04
7202,0.438,0,25,38.3,85.1,291,4.474
4355,0.022,0,25,36,83.5,28,8.948
14276,1.677,0,49,38.8,67.6,125,11.856
29069,2.31,0,48,40.8,73.4,52,11.856
32703,2.809,0,32,38.5,77.9,343,7.606
38821,3.149,0,35,42.8,77.4,271,7.606
37159,3.254,0,37,46.4,79.3,273,7.606
52785,3.148,0,34,43.9,83.1,313,8.5
27725,2.869,0,23,38.3,84.4,15,8.948
18645,2.415,0,26,39.6,83.3,34,7.382
23924,1.787,0,28,41.7,82.9,335,11.856
13282,1.074,0,35,45.7,82.6,49,9.619
6305,0.368,0,37,46.6,79.7,289,6.487
3849,0.012,0,40,46.4,75.7,41,10.066
43964,2.277,0,40,37.4,66.9,281,6.04
44673,2.782,0,40,38.5,69.6,270,5.369
52726,3.234,0,29,35.1,75.6,16,8.277
52227,3.15,0,27,33.8,77.4,348,8.053
